hhid,cfrid,biom_species,catch_species,c_hat_base,c_hat_effort,c_hat_hh,c_hat_mkt,c_hat_mktx
97,27,54,10,24.215752,24.732147,25.020758,24.263756,24.258692
98,27,54,10,24.215752,16.740601,14.069086,14.22016,14.287855
99,27,54,12,24.215752,19.784998,14.903038,15.197957,15.338284
101,27,54,7,24.215752,22.829397,18.68141,18.607016,18.604952
102,27,54,9,24.215752,19.784998,17.748487,17.708979,17.746443
103,27,54,24,24.215752,22.068298,21.167372,21.399525,21.400911
106,27,54,20,24.215752,19.594725,21.257193,20.789545,20.825949
107,27,54,5,24.215752,18.453074,18.145716,17.850872,17.90377
109,27,54,27,24.215752,27.015446,26.870039,26.242027,26.21443
110,27,54,32,24.215752,26.44462,25.983711,25.520912,25.642227
113,20,50,20,22.829737,19.020361,19.20335,18.537815,18.698074
115,20,50,30,22.829737,33.290977,34.964485,33.504139,33.454601
116,20,50,18,22.829737,18.068985,18.637209,17.345716,17.501417
117,20,50,20,22.829737,19.210634,20.059839,19.077278,19.093466
118,20,50,18,22.829737,17.498161,18.891731,17.763363,17.802938
119,20,50,23,22.829737,15.975962,15.720575,14.77287,14.850805
120,20,50,24,22.829737,19.971735,22.281153,21.124805,21.16032
121,20,50,32,22.829737,25.489708,25.346275,23.809275,23.767067
122,20,50,21,22.829737,21.303659,22.806875,21.68379,21.75
123,20,50,18,22.829737,18.639811,20.048151,19.190615,19.27816
126,20,50,25,22.829737,23.777233,23.556763,22.395271,22.4203
129,24,47,22,21.790228,21.110729,21.68907,24.485205,24.481014
131,24,47,31,21.790228,23.203754,25.2155,27.886967,27.812725
132,24,47,29,21.790228,25.487053,25.842918,29.616625,29.487234
133,24,47,26,21.790228,18.066332,18.864962,22.158222,22.118961
135,24,47,30,21.790228,22.632929,22.376991,26.178177,26.044538
136,24,47,15,21.790228,17.685781,20.629614,23.414248,23.357922
137,24,47,32,21.790228,24.155128,26.329067,29.172939,29.020357
138,24,47,16,21.790228,19.58853,21.074482,23.953056,23.860285
139,24,47,34,21.790228,22.062105,22.37245,25.281652,25.217886
141,24,47,37,21.790228,30.624475,31.044357,33.684464,33.643562
143,24,47,27,21.790228,22.823204,25.111767,27.835072,27.821745
145,5,37,14,18.325193,22.433807,18.975647,17.24342,17.692757
147,5,37,10,18.325193,12.539511,12.771611,10.270828,10.72682
150,5,37,12,18.325193,17.676933,19.437544,16.743273,17.145748
151,5,37,14,18.325193,19.199133,20.477592,17.926968,18.357302
155,5,37,20,18.325193,32.137829,28.007904,25.278822,25.629126
156,5,37,19,18.325193,24.526831,21.869186,19.237432,19.605478
157,5,37,22,18.325193,14.82281,15.027209,12.561913,12.993421
158,5,37,23,18.325193,19.199133,19.537415,16.764494,17.158068
159,5,37,24,18.325193,44.695972,43.303875,40.445946,40.61042
160,5,37,23,18.325193,46.979271,44.409954,41.765766,41.979385
161,15,55,36,24.562254,29.68018,29.454403,29.04274,28.966532
162,15,55,25,24.562254,29.870455,29.640282,28.967909,28.911953
163,15,55,26,24.562254,26.826056,26.240837,25.915991,25.865709
165,15,55,25,24.562254,22.069183,21.952658,21.75506,21.792862
166,15,55,31,24.562254,24.923306,26.846867,26.102236,26.091372
169,15,55,26,24.562254,27.206606,30.438475,29.616133,29.612377
170,15,55,29,24.562254,30.060728,33.832058,32.395981,32.363571
173,15,55,25,24.562254,28.919079,30.388472,29.473324,29.406139
174,15,55,24,24.562254,26.63578,25.469036,24.795475,24.780355
176,15,55,16,24.562254,25.303856,25.609859,25.305313,25.308117
179,3,34,22,17.285683,15.961805,14.62785,13.285875,13.505989
180,3,34,24,17.285683,14.249331,17.640089,15.897126,16.182125
181,3,34,18,17.285683,12.917406,12.705258,11.099292,11.47829
182,3,34,15,17.285683,16.532629,19.529657,17.732466,18.021492
183,3,34,17,17.285683,17.67428,16.384584,15.210844,15.426443
184,3,34,21,17.285683,22.050602,20.499483,19.204222,19.387791
185,3,34,18,17.285683,19.006205,17.515152,16.358559,16.542482
188,3,34,13,17.285683,18.625654,18.475931,17.119518,17.334568
190,3,34,22,17.285683,21.289503,19.409143,18.008547,18.200714
192,3,34,24,17.285683,23.572802,24.539917,22.38884,22.557533
193,9,35,16,17.632187,8.5419683,7.7338595,9.0896997,8.8508673
194,9,35,21,17.632187,7.7808685,8.5292206,9.9678202,9.7080898
195,9,35,29,17.632187,17.675163,19.23547,20.364571,20.078661
196,9,35,13,17.632187,9.4933424,6.9416504,8.26544,8.0210934
197,9,35,14,17.632187,9.112793,8.39151,9.8055105,9.5374546
199,9,35,23,17.632187,13.489116,13.900825,14.718789,14.440308
202,9,35,34,17.632187,19.577913,20.908777,21.500534,21.205509
203,9,35,29,17.632187,18.436264,19.258743,19.986025,19.631941
205,9,35,28,17.632187,12.918291,14.602276,15.778087,15.47534
207,9,35,34,17.632187,15.391865,13.5423,15.194425,14.885333
209,18,43,22,20.404213,22.058565,21.659845,26.086937,25.681662
210,18,43,33,20.404213,27.576538,27.895061,33.549248,32.972065
211,18,43,28,20.404213,27.195988,27.445726,31.867342,31.45318
214,18,43,20,20.404213,22.819666,23.8498,28.332554,27.965929
215,18,43,18,20.404213,21.107191,20.735584,25.632423,25.199108
216,18,43,29,20.404213,23.961315,21.511211,26.40789,25.887629
217,18,43,26,20.404213,27.386263,24.847019,29.704288,29.195517
219,18,43,18,20.404213,22.24884,18.886656,23.828114,23.385857
221,18,43,34,20.404213,24.532139,24.683783,29.050709,28.569868
222,18,43,13,20.404213,18.253067,17.397654,22.615379,22.15341
225,19,27,18,14.86016,18.048635,19.063456,22.424454,21.045513
226,19,27,20,14.86016,16.336163,16.351007,19.987089,18.62801
229,19,27,16,14.86016,10.05709,11.31905,15.381044,14.115227
230,19,27,25,14.86016,17.668085,18.787399,21.985369,20.671965
231,19,27,25,14.86016,16.336163,17.651495,20.664461,19.312136
232,19,27,18,14.86016,19.00001,20.052883,23.411861,22.024334
233,19,27,25,14.86016,25.469358,23.978565,27.180962,25.847288
236,19,27,31,14.86016,15.004237,9.5588865,13.749926,12.491294
237,19,27,26,14.86016,20.712484,21.67823,24.922167,23.600861
238,19,27,13,14.86016,14.052862,15.782375,18.984369,17.630587
241,8,31,23,16.246174,16.910526,18.218346,17.732935,17.590025
244,8,31,12,16.246174,14.436952,14.050474,14.328432,14.187697
246,8,31,26,16.246174,15.388326,15.028483,14.985933,14.881925
247,8,31,12,16.246174,10.631454,11.685252,11.456289,11.394412
248,8,31,13,16.246174,11.012003,12.348011,12.14237,12.054481
249,8,31,15,16.246174,15.198051,15.68139,15.315267,15.31908
251,8,31,8,16.246174,10.060629,11.612168,11.318162,11.243017
252,8,31,9,16.246174,15.198051,19.39691,18.713396,18.639963
253,8,31,34,16.246174,26.233995,27.043081,26.712856,26.544733
254,8,31,13,16.246174,19.00355,19.998449,19.784761,19.661837
257,13,36,22,17.978689,19.769073,21.156519,19.82119,19.948156
258,13,36,22,17.978689,19.007973,20.283966,18.970215,19.120659
259,13,36,17,17.978689,28.902269,29.80138,28.021309,28.154642
260,13,36,20,17.978689,15.0122,14.259049,13.181684,13.376454
262,13,36,19,17.978689,30.805017,32.626549,30.613701,30.708879
265,13,36,20,17.978689,26.048145,28.370972,26.53858,26.652117
267,13,36,20,17.978689,25.287046,25.419849,24.265068,24.450306
269,13,36,21,17.978689,21.862097,23.08712,21.514896,21.641205
271,13,36,23,17.978689,35.56189,37.500111,35.415844,35.460789
272,13,36,23,17.978689,23.194021,21.886929,20.704744,20.891455
275,38,78,20,32.531834,31.983828,31.364948,29.13456,28.396135
276,38,78,39,32.531834,36.169876,35.651318,33.886665,33.066437
278,38,78,41,32.531834,33.506027,31.312565,29.626043,28.787571
279,38,78,51,32.531834,31.603277,31.495304,29.593197,28.797192
280,38,78,21,32.531834,30.842178,33.013145,30.639353,29.893494
282,38,78,14,32.531834,24.753382,26.085613,24.13809,23.38274
283,38,78,29,32.531834,33.696301,31.633528,29.55052,28.773149
284,38,78,37,32.531834,25.895031,26.270325,25.020603,24.222784
285,38,78,25,32.531834,30.461628,34.185871,31.64604,30.829725
288,38,78,22,32.531834,25.704756,25.085268,23.318457,22.534998
289,39,74,23,31.145819,25.510942,23.076845,24.200171,24.525928
290,39,74,39,31.145819,31.980289,34.227776,35.034321,35.24054
291,39,74,57,31.145819,30.267815,27.519903,28.669802,28.972221
292,39,74,44,31.145819,28.93589,29.022959,29.986868,30.274836
293,39,74,41,31.145819,30.838638,29.207191,30.060026,30.340347
297,39,74,24,31.145819,29.506714,30.237595,31.267485,31.492092
300,39,74,52,31.145819,40.162109,41.971573,42.459347,42.588974
301,39,74,35,31.145819,26.462317,25.189901,26.727055,27.049671
303,39,74,40,31.145819,32.551113,31.831518,32.329742,32.643463
304,39,74,38,31.145819,30.267815,24.544741,26.779032,26.992054
305,40,60,72,26.294771,44.145496,45.155083,44.768963,44.731964
306,40,60,34,26.294771,34.631752,36.76025,36.430141,36.509453
310,40,60,28,26.294771,36.344227,38.389198,38.157803,38.2169
311,40,60,25,26.294771,25.498554,30.175497,29.950171,30.059149
312,40,60,32,26.294771,24.16663,26.508356,26.830873,26.963335
313,40,60,48,26.294771,38.056698,40.484962,40.273525,40.247379
316,40,60,37,26.294771,37.866425,38.712383,38.504211,38.52747
318,40,60,49,26.294771,39.008076,41.984642,41.69421,41.625671
319,40,60,38,26.294771,41.481647,42.750286,42.40387,42.366901
320,40,60,40,26.294771,35.963676,38.996895,38.61113,38.599266
321,22,59,57,25.948269,54.229183,50.469875,50.506409,50.424023
322,22,59,65,25.948269,39.197464,40.422382,40.02924,40.099281
323,22,59,43,25.948269,37.104439,37.414307,37.404987,37.454365
324,22,59,21,25.948269,27.971245,29.089804,28.891787,28.986561
326,22,59,39,25.948269,34.44059,31.196749,31.774139,31.911268
329,22,59,45,25.948269,31.776743,32.906288,32.710468,32.821724
333,22,59,50,25.948269,35.962791,36.470627,36.281864,36.309547
334,22,59,49,25.948269,36.153065,37.271736,37.0867,37.096672
335,22,59,50,25.948269,31.776743,36.903858,36.677448,36.688465
336,22,59,41,25.948269,28.542068,33.584564,33.275307,33.288799
337,25,62,18,26.987778,28.544724,31.330658,32.520962,32.811268
338,25,62,31,26.987778,29.876648,31.162981,32.148209,32.409794
339,31,67,4,28.720295,19.0354,21.51033,21.562012,21.721474
340,25,62,18,26.987778,23.597576,21.832558,23.274891,23.639555
342,25,62,25,26.987778,26.451698,22.197903,23.953867,24.255491
344,25,62,32,26.987778,34.443245,33.946766,34.899063,35.123493
346,25,62,36,26.987778,32.35022,29.669565,31.046539,31.268105
347,25,62,19,26.987778,32.159946,31.29965,32.379539,32.700081
348,25,62,21,26.987778,30.637747,29.991457,31.091537,31.351542
350,25,62,17,26.987778,27.973898,26.89275,28.676138,28.941608
351,25,62,25,26.987778,28.734999,30.2945,31.541431,31.836477
356,36,49,35,22.483234,25.679098,27.420317,27.601498,27.681986
357,36,49,17,22.483234,15.594527,16.244921,16.537674,16.714825
358,36,49,20,22.483234,14.643152,18.28516,18.212751,18.323801
359,36,49,28,22.483234,21.873598,22.710154,22.750166,22.811975
360,36,49,7,22.483234,13.311228,13.610582,13.912499,14.08243
361,36,49,25,22.483234,16.165352,20.815964,20.525232,20.542515
363,36,49,24,22.483234,14.452877,19.522587,19.390785,19.424284
364,36,49,18,22.483234,15.404252,14.772905,15.75272,15.845787
365,36,49,22,22.483234,14.072328,14.869639,15.194223,15.281346
368,36,49,14,22.483234,15.594527,16.580921,16.690689,16.767612
370,37,65,24,28.027288,27.025179,25.566128,29.713959,30.588963
371,37,65,36,28.027288,27.596003,30.270971,33.719063,34.637943
374,37,65,20,28.027288,25.312704,22.970022,27.165575,28.053106
375,37,65,50,28.027288,25.122429,31.121939,34.861187,35.719753
376,37,65,35,28.027288,34.255623,31.760406,36.14555,36.93589
378,37,65,4,28.027288,17.130882,14.399976,19.324738,20.302111
379,37,65,60,28.027288,29.118202,28.733963,32.718521,33.546207
380,37,65,8,28.027288,23.600229,25.079073,28.73023,29.664915
381,37,65,36,28.027288,30.640402,32.026733,35.498249,36.38335
382,37,65,30,28.027288,20.746105,20.225643,23.996067,24.979774
383,37,65,30,28.027288,23.219679,24.849836,28.497129,29.404104
384,37,65,30,28.027288,28.547377,29.85288,33.127331,34.062592
385,31,67,43,28.720295,35.208771,36.48148,36.588173,36.599792
386,31,67,66,28.720295,31.02272,35.244305,35.094227,35.136963
388,31,67,28,28.720295,32.544922,34.258163,33.924995,33.929543
389,31,67,26,28.720295,28.929697,28.054419,28.274597,28.330187
390,31,67,35,28.720295,29.500521,34.128418,33.788391,33.755848
393,31,67,26,28.720295,27.217222,27.229715,27.947559,28.050478
394,31,67,41,28.720295,30.451897,31.063894,31.098091,31.185171
396,31,67,28,28.720295,33.686569,34.79068,34.832859,34.834766
397,31,67,42,28.720295,30.451897,34.212666,34.213799,34.246456
399,31,67,41,28.720295,21.699249,20.97514,21.705004,21.819107
400,31,67,45,28.720295,35.018494,36.785961,36.554577,36.664307
401,29,54,10,24.215752,16.169775,18.155207,19.960526,20.255556
402,29,54,34,24.215752,22.829397,22.872684,24.577047,24.825346
403,29,54,24,24.215752,14.457301,19.004093,20.336388,20.514986
405,29,54,24,24.215752,20.736374,18.675034,20.705559,20.976236
408,29,54,52,24.215752,22.639122,23.268995,24.978045,25.160324
409,29,54,27,24.215752,22.448847,21.704241,23.674667,23.872429
412,29,54,20,24.215752,19.975273,20.335892,22.301016,22.452293
413,29,54,23,24.215752,19.975273,18.407642,20.876776,21.042395
414,29,54,14,24.215752,18.072525,20.227654,22.087669,22.308767
415,29,54,25,24.215752,27.776545,32.907558,34.408031,34.480473
418,33,56,35,24.908758,27.96859,31.888462,28.480665,28.24103
419,33,56,17,24.908758,17.122919,14.656651,12.350039,12.23596
420,33,56,31,24.908758,22.831167,22.224129,19.879105,19.697937
423,33,56,22,24.908758,22.640892,24.916227,22.26083,22.09004
424,33,56,44,24.908758,21.499243,19.098583,16.674179,16.618538
425,33,56,32,24.908758,26.256115,27.343357,24.62632,24.458677
426,33,56,3,24.908758,13.888246,10.622906,8.7556992,8.6567059
427,33,56,45,24.908758,35.008762,34.550785,31.845533,31.665491
429,33,56,15,24.908758,18.645119,20.123756,17.096548,17.068954
430,33,56,50,24.908758,29.300514,30.830338,27.920658,27.79565
432,33,56,21,24.908758,25.875566,26.459501,24.170023,23.927101
435,17,55,50,24.562254,25.494131,27.695738,26.189005,26.253725
436,17,55,20,24.562254,24.352482,23.0611,22.457476,22.407368
437,17,55,25,24.562254,18.263683,16.390238,16.230993,16.366608
438,17,55,45,24.562254,24.542757,22.283148,21.611498,21.608818
440,17,55,18,24.562254,24.733032,26.652952,26.120012,26.145882
442,17,55,53,24.562254,18.834509,22.833233,21.478935,21.533689
443,17,55,32,24.562254,23.781656,24.159622,23.231709,23.214066
444,17,55,21,24.562254,17.883135,19.13295,18.069016,18.153305
445,17,55,25,24.562254,17.69286,19.808998,18.980751,19.069149
446,17,55,39,24.562254,20.927532,23.658356,23.018032,23.136354
449,28,65,36,28.027288,38.441673,37.51532,39.87392,40.293728
451,28,65,59,28.027288,35.777824,37.533653,39.501186,39.953529
452,28,65,72,28.027288,43.959644,43.353924,45.955997,46.314022
453,28,65,50,28.027288,39.583321,38.273949,40.21336,40.710476
454,28,65,49,28.027288,31.401501,33.51387,35.618828,36.166279
458,28,65,24,28.027288,24.36133,22.009073,24.735729,25.274227
460,28,65,38,28.027288,33.494526,31.682661,34.189674,34.735073
462,28,65,51,28.027288,51.380367,49.849045,52.475868,52.806259
463,28,65,38,28.027288,35.777824,35.452412,37.386917,37.868061
464,28,65,52,28.027288,42.247169,43.755989,45.900635,46.355377
465,26,53,12,23.869247,15.978616,16.342266,17.621954,17.77408
466,26,53,18,23.869247,18.642464,22.687923,24.007338,24.12167
469,26,53,25,23.869247,25.872911,27.311119,28.740364,28.803198
470,26,53,27,23.869247,27.395111,28.205795,29.215963,29.352045
472,26,53,11,23.869247,22.257689,24.76354,25.645201,25.748266
473,26,53,15,23.869247,18.45219,17.762728,19.291578,19.407843
474,26,53,19,23.869247,22.828512,23.944046,24.799706,24.881975
475,26,53,11,23.869247,13.885592,18.762043,19.23757,19.326151
478,26,53,21,23.869247,19.403564,19.201551,20.146486,20.290718
480,26,53,35,23.869247,30.439508,30.870153,31.749063,31.783676
482,23,50,18,22.829737,19.591185,17.035612,16.978548,16.993525
484,23,50,17,22.829737,20.542559,18.327539,18.097052,18.124146
485,23,50,8,22.829737,15.595411,12.551096,12.189529,12.343467
486,23,50,7,22.829737,14.073213,12.592228,12.770573,12.867034
488,23,50,17,22.829737,21.303659,18.701071,18.434706,18.452898
489,23,50,13,22.829737,17.688437,15.681981,15.207279,15.270109
491,23,50,18,22.829737,24.728607,23.179964,22.78023,22.759079
493,23,50,33,22.829737,25.870256,24.883215,24.874483,24.884659
494,23,50,32,22.829737,41.472801,40.776154,39.815536,39.686462
495,23,50,23,22.829737,21.684208,23.044546,22.168165,22.210308
497,30,59,21,25.948269,22.262997,22.950603,20.76646,20.443226
498,30,59,22,25.948269,24.35602,22.019709,20.292467,20.077566
500,30,59,14,25.948269,19.599148,16.745926,15.099313,14.845519
504,30,59,20,25.948269,24.165745,22.346136,20.026995,19.722496
505,30,59,21,25.948269,23.785196,22.546602,20.419588,20.155773
507,30,59,19,25.948269,23.214371,22.24472,19.898952,19.598076
508,30,59,22,25.948269,31.205917,30.3477,27.936316,27.631609
510,30,59,16,25.948269,20.550522,19.606655,17.315279,17.219547
511,30,59,22,25.948269,35.201691,35.107552,32.74567,32.375221
514,21,39,9,19.0182,11.209356,8.5500717,9.7095242,9.7225313
515,21,39,9,19.0182,8.9260569,9.1653652,9.8474026,9.9092226
516,21,39,12,19.0182,23.196676,23.574696,24.100203,24.046478
519,21,39,8,19.0182,11.970456,9.1033545,9.772254,9.9417925
520,21,39,4,19.0182,8.164957,8.0119429,8.5914984,8.6126175
522,21,39,3,19.0182,8.164957,8.7525568,9.0687666,9.1940365
523,21,39,7,19.0182,12.541281,9.1457987,9.8709278,9.9886875
524,21,39,8,19.0182,13.873205,14.030324,14.529109,14.524401
525,21,39,12,19.0182,12.351006,14.481753,14.711359,14.744645
526,21,39,15,19.0182,16.727329,16.999485,17.321344,17.299757
529,4,46,18,21.443724,13.498848,13.084332,12.110606,12.320256
530,4,46,18,21.443724,13.118299,15.248408,14.116294,14.279536
531,4,46,11,21.443724,13.879398,14.789138,13.477767,13.608416
532,4,46,32,21.443724,18.065447,19.156902,18.356291,18.48245
533,4,46,22,21.443724,21.870945,27.050615,25.486866,25.545521
536,4,46,12,21.443724,15.591872,16.222641,14.982572,15.141626
538,4,46,10,21.443724,13.689123,15.888171,15.028021,15.159603
540,4,46,27,21.443724,17.304346,18.068953,17.118773,17.240229
541,4,46,16,21.443724,13.879398,15.065136,14.231306,14.270473
543,4,46,17,21.443724,14.450223,16.271843,15.249687,15.449238
545,7,48,27,22.13673,23.394913,23.835447,22.231489,22.357754
546,7,48,34,22.13673,17.686666,18.594242,16.300615,16.420082
547,7,48,19,22.13673,17.115841,18.349293,16.454163,16.532936
550,7,48,38,22.13673,25.868488,24.038269,22.516491,22.511875
551,7,48,24,22.13673,18.447765,19.397436,16.863537,17.046192
552,7,48,25,22.13673,21.68244,21.134125,18.165243,18.375561
553,7,48,22,22.13673,19.969965,15.106225,12.830946,13.008502
555,7,48,23,22.13673,17.496391,14.45505,12.381789,12.469912
556,7,48,31,22.13673,18.828316,19.481936,17.625826,17.80571
557,7,48,16,22.13673,13.120069,12.301133,9.6353903,9.7752905
562,34,49,14,22.483234,16.545902,13.645709,13.140086,13.227051
563,34,49,24,22.483234,23.966623,20.439505,19.584743,19.713251
564,34,49,10,22.483234,23.015249,22.350182,20.827238,20.888206
565,34,49,9,22.483234,20.3514,16.575439,15.778825,15.911524
567,34,49,20,22.483234,18.638926,14.799503,14.09406,14.271897
570,34,49,27,22.483234,21.49305,19.032656,18.230614,18.275953
573,34,49,24,22.483234,25.488823,19.529886,18.936556,18.998369
574,34,49,25,22.483234,22.634699,23.052206,21.432714,21.428461
576,34,49,19,22.483234,21.302774,20.283001,18.575901,18.637728
577,35,69,12,29.413301,21.701019,17.306921,15.245932,14.628814
578,35,69,4,29.413301,18.846895,16.761547,14.900451,14.280551
581,35,69,3,29.413301,18.846895,18.133848,16.310709,15.657808
582,35,69,12,29.413301,25.506517,23.599745,21.856304,21.090137
585,35,69,24,29.413301,28.170366,27.799011,25.437401,24.701422
586,35,69,25,29.413301,22.652393,24.808033,22.035549,21.31068
587,35,69,12,29.413301,22.08157,23.043802,20.722036,20.016993
589,35,69,18,29.413301,21.891294,20.1213,17.988565,17.290674
590,35,69,18,29.413301,28.741192,25.101833,22.880796,22.217878
592,35,69,6,29.413301,19.798271,17.992085,16.098562,15.417974
594,16,64,38,27.680784,39.772713,37.06311,34.811153,34.240078
595,16,64,28,27.680784,30.258966,27.752623,25.5935,25.091806
597,16,64,23,27.680784,26.453468,22.487659,20.931087,20.565622
598,16,64,28,27.680784,33.493641,32.010456,30.622866,30.03805
599,16,64,31,27.680784,25.502094,21.861712,21.046877,20.616779
601,16,64,17,27.680784,20.74522,19.345861,17.025204,16.630457
602,16,64,39,27.680784,33.874191,30.999342,29.496038,28.91506
604,16,64,10,27.680784,19.603571,19.058676,16.944096,16.516994
605,16,64,7,27.680784,19.223022,15.833534,14.671461,14.258096
606,16,64,12,27.680784,21.696596,17.930502,16.863491,16.448599
609,14,80,14,33.224838,26.087074,28.153969,28.448517,28.415432
610,14,80,22,33.224838,36.932747,36.83062,36.810169,36.748234
611,14,80,24,33.224838,31.224497,30.457748,31.083483,30.993547
612,14,80,21,33.224838,31.985598,36.095474,36.124062,36.058231
613,14,80,25,33.224838,34.839722,34.349445,35.23304,35.141659
616,14,80,16,33.224838,34.839722,32.790241,32.733505,32.561199
619,14,80,15,33.224838,31.605047,29.382757,29.825537,29.769451
620,14,80,23,33.224838,31.034224,28.082396,28.908821,28.874878
621,14,80,20,33.224838,30.082848,27.514858,28.381144,28.357962
624,14,80,35,33.224838,35.791096,34.623577,35.05777,34.885757
625,11,64,28,27.680784,30.068691,34.928711,35.182018,35.217987
629,11,64,15,27.680784,21.316046,20.169069,21.234234,21.357351
631,11,64,34,27.680784,23.979895,24.513069,25.240728,25.337511
632,11,64,26,27.680784,23.218796,18.346542,21.088251,21.313805
633,11,64,24,27.680784,24.931269,27.022026,27.059004,27.103493
636,11,64,33,27.680784,33.303364,33.266644,34.004341,34.01973
637,11,64,25,27.680784,27.785393,29.0522,29.43475,29.555561
638,11,64,19,27.680784,24.360445,24.106285,24.648256,24.770992
